SNR,filter_type,Cutoff Frequency,Layer Type,Batch Size,Window Size,Epochs,Epoch No.,Training,Loss,Accuracy,Precision,Recall
80,low,1000,Dense,100,50,10,0,Training,1.4978328943252563,0.5156739950180054,0.8562091588973999,0.034221526235342026
80,low,1000,Dense,100,50,10,1,Training,0.8713579773902893,0.746081531047821,0.8969223499298096,0.47962382435798645
80,low,1000,Dense,100,50,10,2,Training,0.5498446822166443,0.9103970527648926,0.9298299551010132,0.7857889533042908
80,low,1000,Dense,100,50,10,3,Training,0.4078288674354553,0.9318181872367859,0.9414463043212891,0.91144198179245
80,low,1000,Dense,100,50,10,4,Training,0.332068532705307,0.9380877614021301,0.9458885788917542,0.9315569400787354
80,low,1000,Dense,100,50,10,5,Training,0.2835782766342163,0.9443573951721191,0.9527726173400879,0.9380877614021301
80,low,1000,Dense,100,50,10,6,Training,0.25707152485847473,0.947753369808197,0.9542328119277954,0.9422674775123596
80,low,1000,Dense,100,50,10,7,Training,0.2353762537240982,0.9490595459938049,0.9561194777488708,0.9448798298835754
80,low,1000,Dense,100,50,10,8,Training,0.2184968739748001,0.9524555802345276,0.9574636816978455,0.9467084407806396
80,low,1000,Dense,100,50,10,9,Training,0.20529355108737946,0.954023003578186,0.9599156379699707,0.9508882164955139
80,low,1000,Dense,100,50,10,-1,Testing,0.24409589171409607,0.9438642263412476,0.9484808444976807,0.937336802482605
